Emittent;BaFin-ID;ISIN;Meldepflichtiger;Position / Status;Art des Instruments;Art des Geschäfts;Durchschnittspreis;Aggregiertes Volumen;Mitteilungsdatum;Datum des Geschäfts;Ort des Geschäfts;Datum der Aktivierung
JDC Group AG;40005122;DE000A0B9N37;Grace Beteiligungs GmbH;in enger Beziehung;Aktie;Kauf;17,60 EUR;5.281,30 EUR;13.03.2023;09.03.2023;XETRA;14.03.2023 14:21:57
Neon Equity AG;40029518;DE000A3DW408;TO Holding 1 GmbH;in enger Beziehung;Aktie;Kauf;11,50 EUR;575,00 EUR;13.03.2023;09.03.2023;Xetra;14.03.2023 14:12:31
publity AG;10118215;DE0006972508;NEON Equity AG;in enger Beziehung;Aktie;Kauf;26,96 EUR;30.627,00 EUR;13.03.2023;09.03.2023;Xetra;14.03.2023 14:12:31
Biofrontera AG;40005059;DE0006046113;Deutsche Balaton Aktiengesellschaft;in enger Beziehung;Aktie;Kauf;1,27 EUR;6.290,31 EUR;13.03.2023;09.03.2023;Xetra;14.03.2023 13:53:21
action press AG;40031194;DE000A3ESE35;Ulli Michel Beteiligungen UG (haftungsbeschränkt);in enger Beziehung;Aktie;Verkauf;1,45 EUR;1.450.000,00 EUR;13.03.2023;09.03.2023;;13.03.2023 14:11:34
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Adelt, Isabelle;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Fuchs, Stefan;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Reister, Dr. Timo;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:38:17
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Rheinboldt, Dr. Ralph;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:38:17
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Lindemann, Dr. Lutz;Vorstand;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:38:17
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Fuchs, Dr. Susanne;Aufsichtsrat;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
FUCHS PETROLUB SE;40001544;DE000A3E5D64;Loos, Dr. Christoph;Aufsichtsrat;Aktie;Sonstiges;;;08.03.2023;08.03.2023;;09.03.2023 10:48:48
Symrise AG;40005903;DE000SYM9999;König, Michael;Aufsichtsrat;Aktie;Kauf;92,84 EUR;102.128,68 EUR;08.03.2023;08.03.2023;Xetra;09.03.2023 10:30:11
HAMBORNER REIT AG;40001026;DE000A3H2333;Dreo-Tempsch, Maria Teresa;Aufsichtsrat;Aktie;Kauf;7,53 EUR;35.375,35 EUR;08.03.2023;08.03.2023;Xetra;09.03.2023 10:30:11
KST Beteiligungs AG;20000048;DE000A161309;Schmitt, Martin;Aufsichtsrat;Aktie;Kauf;1,28 EUR;10.215,50 EUR;08.03.2023;08.03.2023;Hamburg;09.03.2023 10:18:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Marquez, Mr. Octavio;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:16:29
Diebold Nixdorf, Incorporated;50080191;US2536511031;Heyden, Mr. Olaf;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;90.595,83 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Heyden, Mr. Olaf;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Leiken, Mr. Jonathan B.;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;43.919,22 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Leiken, Mr. Jonathan B.;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:27:55
Diebold Nixdorf, Incorporated;50080191;US2536511031;Barna, Mr. James;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;3.437,91 USD;10.03.2023;08.03.2023;;13.03.2023 10:27:55
Diebold Nixdorf, Incorporated;50080191;US2536511031;Barna, Mr. James;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:22:23
Diebold Nixdorf, Incorporated;50080191;US2536511031;Marquez, Mr. Octavio;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;62.184,12 USD;10.03.2023;08.03.2023;;13.03.2023 10:22:23
Diebold Nixdorf, Incorporated;50080191;US2536511031;Cantadurucu, Mr. Ilhami;Sonstige Führungsperson;Aktie;Sonstiges;0,00 EUR;0,00 EUR;10.03.2023;08.03.2023;;13.03.2023 10:33:50
Diebold Nixdorf, Incorporated;50080191;US2536511031;Radigan, Ms. Elizabeth;Sonstige Führungsperson;Aktie;Sonstiges;3,21 USD;3.444,33 USD;10.03.2023;08.03.2023;;13.03.2023 10:33:50
